fresh-0001	5,14,9	15,1,9	0,1,1	15,25,12	2,1,1	0,0,0	compact_fresh-0001.tsv
fresh-0009	15,5	16,13	2,2	24,21	1,2	0,0	compact_fresh-0009.tsv
fresh-0021	12,18	20,18	0,2	4,7	0,0	0,0	compact_fresh-0021.tsv
fresh-0025	5,9,18	15,1,3	0,2,2	18,18,23	2,0,0	0,0,2	compact_fresh-0025.tsv
fresh-0029	19,9,24,17	17,19,17,15	2,2,0,0	21,21,16,15	0,2,0,1	8,0,0,0	compact_fresh-0029.tsv
observed-two-job-gap	3,1	2,1	0,1	0,3	0,1	0,0	compact_observed-two-job-gap.tsv
mixed-positive-delta-parent	2,3,4	0,2,0	1,1,3	1,4,1	2,1,2	0,1,1	compact_mixed-positive-delta-parent.tsv
mixed-cached-parent	1,1	1,0	1,1	3,2	1,3	0,1	compact_mixed-cached-parent.tsv
zero-effective-premium	2,3	0,0	1,0	3,0	1,0	0,1	compact_zero-effective-premium.tsv
common-fee-separation	1,2	1,2	1,1	2,2	1,1	0,1	compact_common-fee-separation.tsv
new-mixed-000	1,6	1,0	1,3	4,1	2,0	0,0	compact_new-mixed-000.tsv
new-mixed-001	5,7,4	3,0,8	4,3,4	7,1,7	1,1,3	0,0,0	compact_new-mixed-001.tsv
new-mixed-002	6,8,3,7	9,0,3,0	2,3,1,3	5,2,1,2	0,1,0,0	0,8,0,1	compact_new-mixed-002.tsv
new-mixed-003	8,6,8,3,2	9,0,8,0,3	2,3,3,1,4	2,0,4,1,10	0,0,1,1,3	24,0,2,0,0	compact_new-mixed-003.tsv
new-mixed-004	9,5	2,0	4,3	7,0	3,2	2,0	compact_new-mixed-004.tsv
new-mixed-005	4,3,5	3,0,1	3,1,3	8,1,5	2,1,1	0,0,2	compact_new-mixed-005.tsv
new-mixed-006	3,8,5,8	4,0,6,0	1,3,1,4	4,1,2,0	1,2,1,2	0,0,0,5	compact_new-mixed-006.tsv
new-mixed-007	9,8,2,7,4	2,0,8,0,7	4,2,4,4,1	4,0,6,3,5	0,0,1,0,1	24,4,0,0,0	compact_new-mixed-007.tsv
new-mixed-008	8,5	1,0	4,4	6,6	2,3	0,0	compact_new-mixed-008.tsv
new-mixed-009	2,9,1	8,0,2	3,2,2	3,0,4	0,1,1	0,0,0	compact_new-mixed-009.tsv
new-mixed-010	1,1,2,9	6,0,8,0	2,1,4,2	4,1,8,1	2,2,2,3	0,0,2,0	compact_new-mixed-010.tsv
new-mixed-011	8,6,7,5,9	2,0,4,0,3	3,4,4,3,3	7,5,7,2,6	2,2,3,3,0	0,0,8,0,12	compact_new-mixed-011.tsv
new-mixed-012	5,5	5,0	2,2	2,0	0,3	0,0	compact_new-mixed-012.tsv
new-mixed-013	3,4,1	2,0,5	3,3,1	5,3,2	0,3,0	0,1,0	compact_new-mixed-013.tsv
new-mixed-014	5,8,4,5	7,0,3,0	3,2,4,2	5,3,6,0	0,3,1,1	12,0,0,0	compact_new-mixed-014.tsv
new-mixed-015	6,7,1,5,5	1,0,7,0,2	4,1,2,1,2	7,0,2,1,5	2,3,0,1,3	0,8,0,0,12	compact_new-mixed-015.tsv
